Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,MntTotal,MntRegularProds
"$58,138",0,0,58,$635,$88,$546,$172,$88,$88,3,8,10,4,7,0,1,63,"$1,529","$1,441"
"$46,344",1,1,38,$11,$1,$6,$2,$1,$6,2,1,1,2,5,0,0,66,$21,$15
"$71,613",0,0,26,$426,$49,$127,$111,$21,$42,1,8,2,10,4,0,0,55,$734,$692
"$26,646",1,0,26,$11,$4,$20,$10,$3,$5,2,2,0,4,6,0,0,36,$48,$43
"$58,293",1,0,94,$173,$43,$118,$46,$27,$15,5,5,3,6,5,0,0,39,$407,$392
"$62,513",0,1,16,$520,$42,$98,$0,$42,$14,2,6,4,10,6,0,0,53,$702,$688
"$55,635",0,1,34,$235,$65,$164,$50,$49,$27,4,7,3,7,6,0,0,49,$563,$536
"$33,454",1,0,32,$76,$10,$56,$3,$1,$23,2,4,0,4,8,0,0,35,$146,$123
"$30,351",1,0,19,$14,$0,$24,$3,$3,$2,1,3,0,2,9,0,1,46,$44,$42
"$5,648",1,1,68,$28,$0,$6,$1,$1,$13,1,1,0,0,20,0,0,70,$36,$23
"$7,500",0,0,59,$6,$16,$11,$11,$1,$16,1,2,0,3,8,0,0,44,$45,$29
"$63,033",0,0,82,$194,$61,$480,$225,$112,$30,1,3,4,8,2,0,0,61,"$1,072","$1,042"
"$59,354",1,1,53,$233,$2,$53,$3,$5,$14,3,6,1,5,6,0,0,68,$296,$282
"$17,323",0,0,38,$3,$14,$17,$6,$1,$5,1,1,0,3,8,0,0,33,$41,$36
"$82,800",0,0,23,"$1,006",$22,$115,$59,$68,$45,1,7,6,12,3,0,1,74,"$1,270","$1,225"
"$41,850",1,1,51,$53,$5,$19,$2,$13,$4,3,3,0,3,8,0,0,40,$92,$88
"$37,760",0,0,20,$84,$5,$38,$150,$12,$28,2,4,1,6,7,0,0,74,$289,$261
"$76,995",0,1,91,"$1,012",$80,$498,$0,$16,$176,2,11,4,9,5,0,0,71,"$1,606","$1,430"
"$33,812",1,0,86,$4,$17,$19,$30,$24,$39,2,2,1,3,6,0,0,35,$94,$55
"$37,040",0,0,41,$86,$2,$73,$69,$38,$48,1,4,2,5,8,0,0,38,$268,$220
"$2,447",1,0,42,$1,$1,"$1,725",$1,$1,$1,15,0,28,0,1,0,0,41,"$1,729","$1,728"
